team_id,team_name,manager_name
1,Liverpool,Arne Slot
2,Nottingham Forest,Nuno Espirito Santo
3,Arsenal,Mikel Arteta
4,Chelsea,Enzo Maresca
5,Manchester City,Pep Guardiola
6,Bournemouth,Andoni Iraola
7,Newcastle United,Eddie Howe
8,Fulham,Marco Silva
9,Aston Villa,Unai Emery
10,Brighton & Hove Albion,Fabian Hurzeler
11,Tottenham Hotspur,Ange Postecoglou
12,Brentford,Thomas Frank
13,West Ham United,Julen Lopetegui
14,Manchester United,Ruben Amorim
15,Crystal Palace,Oliver Glasner
16,Everton,Sean Dyche
17,Wolverhampton,Vitor Pereira
18,Leicester City,Ruud van Nistelrooy
19,Ipswich Town,Kieran McKenna
20,Southampton,Ivan Juric
