Team,xG,xGA
Liverpool,25.49-1.51,9.07-1.93
Nottingham Forest,16.46-1.54,15.68+3.68
Chelsea,23.77-0.23,19.08+6.08
Arsenal,20.73-0.27,14.18+2.18
Newcastle United,19.76+0.76,17.82+3.82
Bournemouth,21.21+3.21,16.37+0.37
Manchester City,16.97+1.97,18.25+5.25
Fulham,14.19+2.19,12.24+2.24
Brighton,13.24-2.76,17.34+1.34
West Ham,13.16+2.16,18.93+1.93
Tottenham,19.44+3.44,14.17+5.17
Crystal Palace,12.99+1.99,15.04+4.04
Manchester United,15.34+5.34,17.97+5.97
Aston Villa,13.06+2.06,19.90+0.90
Wolverhampton Wanderers,9.28-7.72,17.55-4.45
Ipswich,11.59-0.41,25.80+6.80
Everton,9.70+3.70,18.15+3.15
Brentford,14.68+3.68,20.35+4.35
Leicester,10.57-1.43,26.32-0.68
Southampton,9.55+4.55,21.76+4.76
