Team,M,away_xG,away_xG_per_game,Original_Tier,Adjusted_Tier
Liverpool,9,25.49,2.832222222222222,1,1
Chelsea,10,22.25,2.225,2,2
Tottenham,9,19.44,2.16,3,2
Bournemouth,10,21.21,2.121,3,2
Arsenal,10,18.92,1.8920000000000001,4,3
Newcastle United,10,17.33,1.7329999999999999,5,4
Manchester City,10,16.97,1.6969999999999998,5,4
Fulham,9,14.19,1.5766666666666667,6,5
Manchester United,9,13.67,1.518888888888889,6,5
Aston Villa,9,13.06,1.4511111111111112,7,6
Crystal Palace,9,12.99,1.4433333333333334,7,6
Nottingham Forest,10,13.88,1.3880000000000001,7,6
Brighton,10,13.24,1.324,8,7
West Ham,9,11.63,1.2922222222222224,8,7
Ipswich,9,10.15,1.1277777777777778,9,8
Leicester,9,9.76,1.0844444444444443,9,8
Everton,9,9.14,1.0155555555555555,10,9
Brentford,9,9.13,1.0144444444444445,10,9
Southampton,10,9.55,0.9550000000000001,11,10
Wolverhampton Wanderers,10,9.44,0.944,11,10
