Team,M,Away_xGA,xGA_per_Game,Original_Tier,Adjusted_Tier
Liverpool,9,9.07,1.0077777777777779,1,1
Arsenal,10,12.41,1.241,2,2
Fulham,9,12.24,1.36,2,2
Nottingham Forest,10,13.78,1.378,2,2
Tottenham,9,14.17,1.5744444444444445,3,3
Bournemouth,10,16.37,1.637,3,3
Crystal Palace,9,15.04,1.671111111111111,3,3
Manchester United,9,15.11,1.6788888888888889,3,3
Newcastle United,10,16.81,1.6809999999999998,3,3
Everton,9,15.54,1.7266666666666666,4,4
Brighton,10,17.34,1.734,4,4
Wolverhampton Wanderers,10,17.55,1.7550000000000001,5,5
Chelsea,10,17.8,1.78,6,6
Manchester City,10,18.25,1.825,7,7
West Ham,9,16.95,1.8833333333333333,8,8
Southampton,10,21.76,2.176,9,9
Aston Villa,9,19.9,2.211111111111111,9,9
Brentford,9,20.1,2.2333333333333334,9,9
Ipswich,9,23.14,2.571111111111111,10,10
Leicester,9,23.98,2.6644444444444444,10,10
